"","Summary","Text"
"12"," A mis gatos les encanta esta comida ""dieta"" mejor que su comida regular"," Uno de mis chicos necesitaba perder algo de peso y el otro no.  Puse esta comida en el suelo para el gordito, y el rico en proteínas, sin comida de subproductos más alto donde sólo mi chico flaco puede saltar.  La comida más alta se sienta rancio.  Los dos realmente van por esta comida.  Y mi gordito ha estado perdiendo una onza a la semana. "
"13"," Mis gatos no son fans de la nueva comida"," Mis gatos han estado comiendo Felidae Platinum por más de dos años. Acabo de conseguir una bolsa nueva y la forma de la comida es diferente. Probaron la nueva comida cuando la puse por primera vez en sus cuencos y ahora los cuencos se sienten llenos y los gatitos no tocarán la comida. He notado comentarios similares relacionados con los cambios de fórmula en el pasado. Desafortunadamente, ahora necesito encontrar un nuevo alimento que mis gatos comerán. "
"14"," fresco y grasiento!"," buen sabor! estos venían bien embalados... eran frescos y deliciosos! ¡Me encantan estos Twizzlers! "
"15"," Fresa Twizzlers - Yummy"," Los Strawberry Twizzlers son mi placer culpable, delicioso. Seis libras estarán por un tiempo con mi hijo y yo. "
"16"," Un montón de twizzlers, justo lo que esperas."," A mi hija le encantan los twizzlers y este cargamento de seis libras realmente llegó al lugar. Es exactamente lo que esperarías... seis paquetes de twizzlers de fresa. "
"17"," Pobre Gusto"," Me encanta comerlos y son buenos para ver la televisión y mirar películas! No es demasiado dulce. Me gusta transferirlos a una bolsa de cierre de cremallera para que se mantengan frescos para que pueda tomarme mi tiempo comiéndolos. "
"18"," ¡Me encanta!"," Estoy muy satisfecho con mi compra de Twizzler.  Los compartí con otros y todos los hemos disfrutado.  Definitivamente voy a pedir más. "
"19"," Gran SWEET CANDY!"," Twizzlers, Strawberry mis dulces favoritos de la infancia, hecha en Lancaster Pennsylvania por Y & S Candies, Inc. una de las firmas de confitería más antiguas de los Estados Unidos, ahora una subsidiaria de la Hershey Company, la compañía fue establecida en 1845 como Young y Smylie, también hacen Apple Licorice Twists, Green Color y Blue Raspberry Licorice Twists, me gusta todos ellos <br />br />I mantenerlo en un lugar fresco y seco porque no se recomienda para ponerlo en la nevera. Según el Libro Guinness de los Récords, el Licorice Twist más largo jamás realizado midió 1.200 pies (370 M) y pesaba 100 libras (45 kg) y fue hecho por Y & S Candies, Inc. Este récord se convirtió en un récord mundial Guinness el 19 de julio de 1998. ¡Este producto es Kosher! Gracias "
"20"," Casa Entregado twizlers"," Candy fue entregado muy rápido y fue comprado a un precio razonable.  Estaba en casa y no podía llegar a una tienda, así que esto era perfecto para mí. "
"21"," Siempre fresco"," Mi marido es un adicto a los Twizzlers.  Las hemos comprado muchas veces a Amazon porque somos empleados del gobierno que viven en el extranjero y no podemos conseguirlos en el país al que estamos asignados.  Siempre han sido frescos y sabrosos, empacados bien y llegan en tiempo y forma. "
"22"," TWIZZLERS"," Compré estos para mi marido que actualmente está en el extranjero. Le encantan estos, y aparentemente a su personal le gustan también.<br />Hay cantidades generosas de Twizzlers en cada bolsa de 16 onzas, y esto valió la pena el precio. <a href-""http://www.amazon.com/gp/product/B001GVISJM-"">Twizzlers, Strawberry, 16-Ounce Bags (Pack of 6)</a> "
"23"," Delicioso producto!"," Recuerdo haber comprado este caramelo de niño y la calidad no ha bajado en todos estos años. Sigue siendo un producto excelente que no te decepcionará. "
"24"," Twizzlers"," Me encanta este caramelo.  Después de los observadores de peso tuve que reducir, pero todavía tienen un antojo de ello. "
"25"," Por favor, vender estos en México!!"," He vivido fuera de los EE.UU. para más de 7 años ahora, y me pierda mi Twizzlers!!  Cuando vuelvo a visitarme o alguien me visita, siempre me adelanto.  Todo lo que puedo decir es YUM!<br />Vender estos en México y usted tendrá un comprador fiel, más a menudo de lo que soy capaz de comprar ahora mismo. "
"26"," Twizzlers - Fresa"," El producto recibido es como se anuncia.<br /><br /><a href-""http://www.amazon.com/gp/product/B001GVISJM-"">Twizzlers, Strawberry, 16-Ounce Bags (Pack of 6)</a> "
"27"," Nasty Sin sabor"," El caramelo es sólo rojo, sin sabor . Sólo plan y masticable.  Nunca los volvería a comprar. "
"28"," Gran negociación por el precio"," Estaba tan contenta de que Amazon llevara estas baterías.  Me cuesta encontrarlos en otro lugar porque son un tamaño único.  Los necesito para mi puerta de garaje abridor.<br />Gran oferta por el precio. "
"29"," ¡Delicioso!"," Tengo esto para mi mamá que no es diabética pero necesita ver su ingesta de azúcar, y mi padre que simplemente decide limitar el azúcar innecesario ingesta - ella es la que tiene el diente dulce - que ambos amaban estos toffees, nunca se adivinaría que son libres de azúcar y es tan grande que se puede comer prácticamente libre de culpa!  I estaba tan impresionado que i've ordenado algunos para mí (con chocolate negro) para llevar a la oficina, de modo que i'll comer en lugar de picar en dulces azucarados.<br />Estos son simplemente EXCELENTES! "
"30"," el La mejor salsa caliente del mundo"," No sé si es el cactus o el tequila o sólo la combinación única de ingredientes, pero el sabor de esta salsa picante lo hace único!  Recogimos una botella una vez en un viaje en el que estábamos y la trajimos de vuelta a casa con nosotros y quedamos totalmente impresionados!  Cuando nos dimos cuenta de que simplemente no podíamos encontrar en ninguna parte de nuestra ciudad estábamos deprimidos.<br /><br />ahora, debido a la magia de Internet, tenemos una caja de la salsa y estamos extasiados por eso.<br /><br />Si te gusta la salsa picante.. Quiero decir, realmente me encanta la salsa picante, pero no quiero una salsa que te queme la garganta insípida, coge una botella de Tequila Picante Gourmet de Inclan.  Sólo tienes que darte cuenta de que una vez que lo pruebes, nunca querrás usar ninguna otra salsa.<br /><br />Gracias por el servicio personal, increíble! "
"31"," ¡Gran máquina!"," Nunca he sido un gran fanático del café. Sin embargo, mi madre compró esta pequeña máquina y me convenció para que probara el Latte Macciato. No Coffee Shop tiene uno mejor y me gusta la mayoría de los otros productos, también (como un supuesto bebedor que no es café!). <br />La pequeña Dolche Guesto Machine es muy fácil de usar y prepara un muy buen Café/Latte/Cappuccino/etc en menos de un minuto (si se calienta el agua). Recomendaría el Dolce Gusto a cualquier persona. Demasiado bueno para el precio y estoy recibiendo uno yo mismo! :) "
"32"," éste ES MI TASTE..."," Esta oferta es un gran precio y un gran sabor, gracias Amazon por vender este producto.<br /><br />Staral "
"33"," Lo mejor del instante Avena"," La avena instantánea de McCann es genial si debes tener tu avena, pero solo puedes juntar dos o tres minutos para prepararla. No hay escapatoria del hecho, sin embargo, que incluso la mejor avena instantánea no es ni mucho menos tan buena como incluso una marca de avena que requiere preparación de fogones.  Aún así, el McCann's es tan bueno como para la avena instantánea. Es incluso mejor que las marcas orgánicas y totalmente naturales que he probado.  Todas las variedades del paquete de variedades de McCann saben bien.  Se puede preparar en el microondas o mediante la adición de agua hirviendo por lo que es conveniente en el extremo cuando el tiempo es un problema.<br /><br />McCann uso de azúcar de caña real en lugar de jarabe de maíz de alta fructosa me ayudó a decidir comprar este producto.  El azúcar real sabe mejor y no es tan dañino como las otras cosas. Una cosa que no me gusta, sin embargo, es el uso de Espesantes por parte de McCann.  La avena más el agua más el calor deben hacer una avena cremosa y sabrosa sin la necesidad de goma de guar. Pero este es un producto de conveniencia.  Tal vez la goma de guar es la razón por la que, después de sentarse en el tazón un rato, el instante McCann se vuelve demasiado grueso y pegajoso. "
"34"," Good Instant"," Esta es una buena avena instantánea de la mejor marca de avena.  Utiliza azúcar de caña en lugar de jarabe de maíz de alta fructousa, por lo que no sólo tiene una mejor dulzura, pero algunos médicos ahora dicen que esta forma de azúcar es mejor para usted.  Excelente en una mañana fría cuando no tienes tiempo para hacer McCann's Steel Cut Oats.  La canela de manzana es la mejor, pero el arce y el azúcar morena o el regular también son buenos.  Además, no requieren ser doctorados para distinguir los tres sabores. "
"35"," Gran avena irlandesa para los que tienen prisa!"," La avena instantánea puede empaparse en el momento en que el agua golpea el tazón. La avena instantánea de McCann tiene su textura, tiene un sabor excelente y es buena para todos al mismo tiempo. La comida regular de avena de McCann es excelente, también, pero puede tomar un poco más de tiempo para prepararse de lo que la mayoría tiene tiempo para en la mañana. Esta es la mejor marca instantánea que he comido, y un segundo muy cercano a la variedad no instantánea.<br /><br />McCann's Instant Harina de avena irlandesa, paquete de variedades de regular, manzanas y canela, y azúcar de arce y marrón, cajas de 10 recuentos (paquete de 6) "
"36"," Satisfactorio"," McCann's Instant Irish Oatmeal, Variety Pack of Regular, Apples & Cinnamon, and Maple & Brown Sugar, 10-Count Boxes (Pack of 6)<br /><br />Br />Soy un fan de la avena cortada en acero de McCann, así que pensé en probar la variedad instantánea. Me pareció que era una comida resistente, no demasiado dulce, y genial para gente como yo (cirugía post-bariátrica) que necesitan alimentos que son agradables, fácilmente digeribles, con fibra pero no te hará nacono. "
"37"," Love Gluten Free Oatmeal!!!"," Para aquellos de nosotros con la enfermedad celíaca este producto es un salvavidas y lo que podría ser mejor que conseguirlo a casi la mitad del precio de la tienda de comestibles o alimentos saludables!  Me encanta la avena instantánea de McCann - todos los sabores!!! <br /><br />Gracias,<br />Abby "
"38"," es Avena"," ¿Qué más necesitas saber? Avena, instantánea (que sea con media taza de leche baja en grasa y añadir pasas;nuke durante 90 segundos). Más caro que la avena de la marca kroger y tal vez un poco más sabroso o mejor textura o algo así. Todavía es avena. ¡Mmm, conveniente! "
"39"," BUENA MANERA DE COMENZAR EL DIA...."," Estaba visitando a mi amigo NATE EL OTRO MORNING PARA COFFEE , CAME OUT DE SU SALA DE ALMACENAMIENTO CON ( Un PAQUETE DE McCANNS INSTANT IRISH OATMEAL .) SE SUGIERE QUE LO PRUEBA PARA MI PROPIO USO, EN MI STASH . ALGUNAS VECES NATE DOSE NO LE DAN UNA OPORTUNIDAD DE DECIR NO , POR LO QUE TERMINARÉ PRUEBANDO LA APPLE Y CINN . ENCONTRÓ QUE ES MUY BUEN GUSTO CUANDO SE HACE CON AGUA O LECHE EN POLVO. SE HACE BIEN CON O.J. Y COFFEE Y UN SLICE DE TOAST Y SU LISTO PARA TOMAR EN EL MUNDO... O EL DÍA AL MENOS..  JERRY REITH... "
"40"," Esposa Favoridesayuno te"," Pedí esto para mi esposa, ya que fue reccomended por nuestra hija.  Ella tiene esto casi todas las mañanas y le gustan todos los sabores.  Ella es feliz, yo soy feliz!!! <br /><a href-""http://www.amazon.com/gp/product/B001EO5QW8-"">McCANN'S Instant Irish Oatmeal, Variety Pack of Regular, Apples & Cinnamon, and Maple & Brown Sugar, 10-Count Boxes (Pack of 6)</a> "
"41"," ¿Por qué no comprar avena de Mcanns? ¡Sabe muy bien!"," Los paquetes de variedades saben muy bien!<br /><br />Los tengo todas las mañanas. A 0,30 centavos de dólares por comida, no entiendo por qué todos en la tierra no están comprando estas cosas.<br /><br />el azúcar morena es excelente, seguido de manzanas y canela, seguido de regular. No te cansas de la misma cosa ole, y saben muy bien.<br /><br />Yo solo hiervo agua de una olla pequeña, vacíe el paquete o 2 en un tazón, vierte en agua hirviendo, y lo veo expandir a 2 veces su tamaño!<br /><br />Sabor muy bueno y toma minutos para preparar.<br /><br />No está seguro de por qué todo el mundo en la tierra no es esto. Conveniente, saludable, muy rápido, excelente calidad, y extremadamente barato... "
"42"," Avena Para los amantes de la avena"," McCann's hace avena para cada conocedor de la avena, ya sea que le guste desde el estado de pellets crudos que cocina durante media hora, hasta el instante de perezoso, que se puede hacer en el microondas durante menos de tres minutos. Todo es bueno, eso es seguro, y la belleza de la variedad instantánea es que está disponible en diferentes sabores, así como regular.<br /> Este paquete de variedad permite explorar diferentes sabores, además de darte la oportunidad de experimentar la diferencia entre McCann's y otras avenas conocidas. Lo que personalmente me gusta de McCann's es que se cocina más grueso y con más cuerpo que la marca más alta aquí en Estados Unidos. Las manzanas y la canela, sin embargo, tiende a ser un poco líquida por lo que es posible que desee experimentar con la cantidad de agua que agrega. En mi microondas de 1300 vatios, la avena se cocina en aproximadamente un minuto y veintisiete segundos, así que también debes ver eso para controlar cuánto tiempo y agua usar.<br /> Lo único malo -- si puedes considerarlo malo -- acerca de esta ofrenda es que tienes que comprar en lote para que termines con seis cajas de diez cuentas. Esto es bueno si usted tiene toda una familia de avena-comedores, pero si usted es una sola persona sola - bueno, el amor avena. "
"43"," Comida-Grande"," Tengo Avena de McCann cada mañana y al pedirlo a Amazon soy capaz de ahorrar casi $3.00 por caja.<br />Es un gran producto. Sabe muy bien y muy saludable "
"44"," Buen desayuno caliente"," La harina de avena de McCann es una opción de buena calidad.  Nuestro favorito son las manzanas y la canela, pero encontramos que ninguno de estos son demasiado azucarados.  Para un buen desayuno caliente en 2 minutos, esto es excelente. "
"45"," Gran sabor y conveniencia"," Realmente nos gusta la avena cortada de acero de McCann, pero encontramos que no lo cocinamos demasiado a menudo.<br />Esto sabe mucho mejor para mí que las marcas de la tienda de comestibles y es igual de conveniente.<br />Cualquier cosa que me mantiene comiendo avena regularmente es algo bueno. "
"46"," Avena abundante"," Esto parece un poco más saludable que algunas de las marcas de supermercados, pero es algo suave y tampoco tiene tanto sabor.  No pasó con mis hijos, así que probablemente no lo volveré a comprar. "
"47"," bien"," Buena avena.  Me gusta más la canela de manzana.  Si aún así sigues los ojos, el alojamiento siempre es demasiado sano para mi gusto.  Podría ser yo ya que me gusta mi avena muy gruesa para agregar un poco de leche encima de. "
"48"," MuTímido"," Los sabores son buenos.  Sin embargo, no veo ninguna diferencia entre esta y Oaker Avena marca - ambos son blandos. "
"49"," Muy bueno, pero la próxima vez no pediré el paquete de variedades"," Me gusta mucho el sabor de arce y azúcar morena. El regular está bien con azúcar morena añadida. El sabor de las manzanas y la canela está bien. Este es un desayuno muy rápido, fácil y satisfactorio y voy a pedir esta marca de nuevo, pero no la variedad. Traeré todo el azúcar de arce y marrón. "
"50"," Lo mismo"," Esto es lo mismo que puedes comprar en las grandes tiendas.  No hay nada saludable en ello.  Es sólo carbohidratos y azúcares.  Ahorre su dinero y obtener algo que al menos tiene un poco de gusto. "
"51"," No me gusta"," Esta avena no es buena. Es suave, suave, no me gusta. La oat cuáquera es el camino a seguir. "
"52"," ¡Caliente!  ¡Y bien!  Volvió por más :)"," Tengo un paquete gratuito de estos con una botella de mezcla de Mary sangrienta que compré al vendedor, y la publicidad funcionó.. lol, los probé, y los compartí con 2 amigos, y todos los amamos...  Así que estoy aquí para comprar más, y notó que no había comentarios todavía,...  bien ahora lo hay.  Son calientes, pero no ""quemar su boca para siempre caliente"" es una agradable temperatura...  Perfecto para nosotros.. "
"53"," Te volverás loco por el culo-KickinCacahuetes."," Esto no estaba en stock la última vez que miré. Tuve que ir a la tienda de Vermont Country Store en Weston para encontrarla junto con un arpa de mandíbula, salsa de rábano picante de arándanos, salsa de frijol negro sin pedos, jalea de sidra de manzana, arte de cuna de Newton en movimiento y el jarabe básico de arce de Vermont.<br /><br />Back to the Ass Kickin Peanuts. Están calientes. Activarán las glándulas de transpiración detrás de las orejas y debajo de los brazos. Requiere una bebida como se anuncia, un vaso de leche muy fría, y una caja de Kleenex ya que hará que su nariz se ejecute. Parecen cacahuetes ordinarios que ya me están dando ideas para el trabajo. Sospecho que algunas personas han estado golpeando mis golosinas en mi ausencia, especialmente mi colega Greg. Voy a tomar esto para trabajar lo antes posible y vaciar el contenido de esta lata en una lata ordinaria de cacahuetes plantadores, y luego ver qué llanto o cuya nariz se está ejecutando cuando regreso.<br /><br />El puede ser sacudido para asegurar se distribuye uniformemente las especias. Es importante lavarse las manos después del consumo y no tocar los ojos.<br /><br />Te volverás loco por estos Cacahuetes de Ass-Kickin'<br /><br />P.S. No voy a compartir los cacahuetes, no deliberadamente, y probablemente le daré a Greg el arpa de la mandíbula para Navidad. Se sentirá tan insultado. "
"54"," No Culo Kickin"," estamos acostumbrados a los alimentos picantes aquí en el sur de Texas y estos no son en absoluto picantes.  duda mucho habanero se utiliza en absoluto.  podría tomar una muesca o dos. "
"55"," Asados hasta una cerveza suave"," Aso en casa con una estufa de palomitas de maíz (pero lo hago fuera, por supuesto). Estos frijoles (Coffee Bean Direct Green Mexican Altura) parecen ser adecuados para este método. La primera y la segunda grieta sin eliminar, y he tostado los frijoles de medio a ligeramente oscuro con grandes resultados cada vez. El aroma es fuerte y persistente. El sabor es suave, aterciopelado, pero vivo. "
"56"," ¡A nuestros huéspedes les encanta!"," Los asamos en una gran sartén de hierro fundido en la parrilla (alrededor de 1/3 de la bolsa a la vez).  El olor es maravilloso y los frijoles asados saben delicioso también.  Lo que es más importante, el café es suave; sin regusto amargo.  En numerosas ocasiones, hemos tenido que enviar los frijoles asados a casa con amigos porque les gusta mucho. "
"57"," Impresionante ¡Trato!"," ¡El trato fue increíble!  Llegó antes de Halloween como se indica y fue suficiente para satisfacer trucos o tratadores.  Me encanta la calidad de este producto y era mucho menos costoso que los dulces de la tienda local. "
"58"," Cómo ¡puedes equivocarte!"," Es chocolate, qué puedo decir.  Gran variedad de todo lo que a nuestra familia le encanta.  Con una familia de seis va rápido aquí.  Variedad perfecta.  Kit Kat, Reeses, toma cinco y más. "
"59"," Awsome - ¡Los niños del barrio nos amaban!"," Gran producto, buena combinación de chocolates y tamaño perfecto!  Las maletas tenían mucho, y fueron enviadas rápidamente.  ¡A los niños del barrio les gustaban nuestros dulces! "
"60"," Gran Trato."," Halloween ha terminado, pero envié una bolsa a la clase de mis hijas por su parte. El chocolate era fresco y disfrutado por muchos. "
"61"," Mejor precio para esto en Target"," Mira tus precios con esto.  Si bien el surtido era bueno, y lo hice en una compra de caja de oro, el precio de esto era<br />$3-4 menos en Target. "
"62"," bastante caro"," Esta bolsa de caramelos en línea es bastante caro, debería ser más barato con el fin de competir con las tiendas de comestibles, aparte de eso, es una buena combinación de mis dulces favoritos "
"63"," sproducto de cuento."," Llegó en 6 días y estaban tan rancios que no podía comer cualquiera de las 6 bolsas!! "
"64"," Martillo Nutrición 's Fizz Rocks!"," He utilizado el producto endurolyte durante varios años en forma de píldora y polvo.  Largos paseos por el desierto en la moto de tierra siempre encontraron mi agua camelbak muy cargada con el polvo de endurolyte, no demasiado sabroso, pero bastante eficaz, ya que nunca he conseguido un calambre en estos varios cientos de kilómetros de paseos.  Lo mismo para las carreras del desierto en el buggy, los camelbaks siempre estaban alados con el polvo.  Ahora tenemos el Fizz... ¡Qué gran producto!  En primer lugar, su producto endurolyte Hammer por lo que es genial, atleta de resistencia es el mundo sobre el uso de sus productos. Ensegundo, sus prácticos comprimidos a mano que se desvantan en un fizz.  ¡Tercero sabe muy bien! Imagínese tomar una buena bebida fresca cuando su cuerpo está hambriento de hidratación y electrolitos y en lugar de obtener un sabor ""salado"", se obtiene un refrescante limón-lima o mango!  Los camelbaks siempre tienen el Fizz ahora.  También detengo una tableta en mi agua embotellada cada vez que hago ejercicio y tengo un buen agua con sabor lleno de electrolitos. No puedo recomendar este producto o cualquier producto martillo lo suficiente. "
"65"," Gran fuente de electrolitos"," Este producto me sirve bien como una fuente de electrolitos durante y después de un largo recorrido o paseo en bicicleta.<br />He probado todos los sabores, pero realmente me gusta el sabor de pomelo... sin postgusto y en realidad me gusta la ligera carbonatación.<br />Utilizo otros productos Hammer y realmente me gusta toda su línea de productos. "
"66"," Ideal para prevenir calambres"," Esto realmente funciona para prevenir calambres durante las etapas medias y finales de sus paseos. Pon 1 en cada botella de agua y listo. El sabor está bien y baja fácilmente. "
"67"," Alternativa de bajo carbohidrato a Gatorade"," Para aquellos de nosotros en una dieta baja en carbohidratos estas pequeñas tabletas son sólo la cosa.<br /><br />Hace dos años comencé a andar en bicicleta de nuevo después de muchos años, pero estaba teniendo arritmia cardíaca después de paseos más largos a fuego alto.  Estaba bebiendo agua corriente, pero investigué un poco y pensé que los electrolitos podrían ser el problema.  Gatorade no era una opción porque está tan cargada de carbohidratos, así que busqué a su alrededor una alternativa baja en carbohidratos.  Las bebidas deportivas ""cero carbohidratos"" no ayudaron, ¿qué hacer?  Un día me encontré con estos en mi tienda de bicicletas, así que probó un tubo de ellos..... ¡Voila!... problema resuelto!! <br /><br />He compartido con dos amigos en particular cuyos problemas con los calambres en las piernas se resolvieron mientras se usaban these.<br /><br /><br />Estos chicos lo hicieron bien - están magníficamente formulados y simplemente funcionan..... "
"68"," El sabor no es tan bueno."," Compré el sabor Mango, y para mí no se toma como Mango en absoluto.  No hay ningún atisbo de dulzura, y por desgracia hay un toque o regusto casi como regaliz.  He estado consumiendo varios productos de nutrición deportiva durante décadas, así que estoy familiarizado y me ha gustado el sabor de la mayoría de los productos que he probado.  El sabor mango es uno de los menos atractivos que he probado.  No es terrible, pero es bastante malo que noto el mal sabor de cada sorbo que tomo. "
"69"," Cómo mucho pagaría por una bolsa de chpretzels ocolates?"," Si eres impulsivo como yo, entonces $6 está bien. No me malinterpretes, la calidad de estos bebés es muy buena y no tengo quejas. Pero en retrospectiva, el precio es un poco ridículo (esp. cuando se añade en el envío). "
"70"," Pretzel ¡Asilo!"," este fue tan deliscious, pero demasiado malo i comió em demasiado rápido y ganó 2 pds! mi culpa "
"71"," Gran ¡Gummi!"," Estos osos y anillos gummi albaneses y así sucesivamente son muy buenos y sabrosos y de alta calidad. Los osos incluso tienen caras pequeñas. En mi tienda de dulces local este tipo de cosas de gummi (osos, anillos, serpientes, bolas, gusanos, lo que sea) son de aproximadamente $10/lb. Estos paquetes gemelos de bolsas de 4,5 o 5 libras es un trato chillona en lo que a mí respecta. Probablemente estoy a 50 libras de profundidad en estas malditas cosas. ¡Consumido! "
"72"," Mayor Entonces otras marcas"," Los osos gomosos de uva son difíciles de encontrar en mi área. De hecho, casi cualquier persona con la que hable de osos gomosos de uva creen que estoy mintiendo. Así que compré 10 libras... : ) Estos osos son un poco más grandes que las otras marcas y tienen una especie de patada agria, pero nada fuerte. Me encantan los dulces/soda con sabor a uva y estos son bastante buenos. Hay otra empresa que hace que los osos gomosos de uva que son un poco mejores en mi opinión, pero estos son bien vale la pena por el precio. Me gusta usar los osos gomosos en paletas caseras con bebida deportiva saborizada. La sal en la bebida deportiva hace que las paletas más suaves, y los osos gomosos son impresionantes congelados. ¡Son deliciosos! "
"73"," Lo mejor de mi vida latice Tarta"," Pedí dos de estos y dos de tartas de frambuesa laticulo directamente desde el sitio web de FantasiCakes para una cena que estaba organizando. Llegó fresco e intacto. Muy buen tamaño. Congelé la mitad para usarlo más tarde. Soy un amante de la pastelería y estos fueron los mejores que he probado. La pastelería era suave, la mermelada era muy buena y el sabor era genial. Se habían ido en poco tiempo. Mis invitados quedaron muy impresionados. "
"74"," ¡Advertencia!  ¡Advertencia!  -ALCOHOL SUGARS!"," Comprador ¡Cuidado Por favor! Este edulcorante no es para todos.  El maltitol es un azúcar de alcohol y puede ser irdigerible en el cuerpo.  Usted sabrá un poco después de consumirlo si usted es uno de los muchos desprevenidos que no pueden digerir por la hinchazón intestinal extrema y calambres y cantidades masivas de gas que una persona puede experimentar. Náuseas, diarrea y dolores de cabeza también se pueden experimentar. Aprendí mi lección hace años cuando me enamoré de los chocolates sin azúcar que suzanne sommers solía vender.  Pensé que había encontrado nirvana de chocolate sin azúcar al primer gusto, pero la dicha fue de corta duración cuando los terribles efectos secundarios del maltitol entraron en acción.  El malestar era diferente a cualquier cosa que había sentido antes.  Exploté como un globo y tuve calambres abdominales muy dolorosos.  A medida que pasaban los síntomas, esto también fue muy desagradable.  Aunque me resulta difícil creer que un edulcorante bajo en calorías podría ser el culpable, todos los síntomas se habían ido cuando dejé de comer el chocolate. Hemos detectado un problema desconocido.  El sabor era increíble y mientras yo estaba mirando la etiqueta preguntándose qué podría hacer que este delicioso, nuevo sabor libre de azúcar tan bueno, mi corazón se hundió cuando seguí el pequeño asterisco junto a edulcorante sin azúcar * hasta el fondo de la etiqueta y leer ""maltitol"" en pequeñas letras! Gracias a Dios que había comido sólo un poco. Si aún así sigues teniendo problemas, tablet, as 000 de datos. Algunas personas pueden usar el maltitol en su contenido cardíaco, pero otras, como yo, pueden tener una mala reacción a él. En caso de que seas como yo, ... no eres tú... es el maltitol! "
"75"," Nada Especial"," Está bien.  No haría todo lo posible para comprarlo de nuevo "
"76"," Sin sabor a té"," No tiene sabor a té. Un brunch entero de sabores artifiales. No es retornable. Desperdicié más de 20 dólares. "
"77"," bien"," Estos parecían un aperitivo perfecto para pasar con mi mezcla de senderos.  Desafortunadamente, llegaron en una masa sólida de chocolate derretido.  Los dejé en mi despensa por unos días, y cuando los abrí a temperatura ambiente todavía estaban gooey.  Yo a través de ellos en la nevera y he estado rompiendo hunks desde entonces.  Saben bien para mí, pero el chocolate es todo granulado después de fundirse y luego solidificarse de nuevo.  No los pediré en línea de nuevo, pero si los veo en una tienda los recogería. "
